TimeDeltaIndex,Time_s,P_fuel_kW,P_thermal_kW,T_out_degC,G_losses,eta,T_ext_degC,P_demand_kW,T_supply_degC,T_return_degC,anomaly
408300,408300,834.5,719.74,75,750,0.86,18.65,677.6,75,50,3
408600,408600,835.05,720.22,75,750,0.86,18.6,678.04,75,50,3
408900,408900,835.6,720.7,75,750,0.86,18.55,678.47,75,50,3
409200,409200,836.15,721.18,75,750,0.86,18.5,678.91,75,50,3
409500,409500,836.71,721.66,75,750,0.86,18.45,679.35,75,50,3
409800,409800,837.25,722.14,75,750,0.86,18.4,679.78,75,50,3
410100,410100,837.79,722.61,75,750,0.86,18.35,680.22,75,50,3
410400,410400,838.24,723,75,750,0.86,18.3,680.66,75,50,3
410700,410700,838.99,723.66,75,750,0.86,18.25,681.26,75,50,3
411000,411000,839.73,724.3,75,750,0.86,18.2,681.85,75,50,3
411300,411300,840.46,724.94,75,750,0.86,18.15,682.45,75,50,3
411600,411600,841.19,725.58,75,750,0.86,18.1,683.05,75,50,3
411900,411900,841.92,726.21,75,750,0.86,18.05,683.65,75,50,3
412200,412200,842.64,726.84,75,750,0.86,18,684.25,75,50,3
412500,412500,843.36,727.47,75,750,0.86,17.95,684.84,75,50,3
412800,412800,844.08,728.1,75,750,0.86,17.9,685.44,75,50,3
413100,413100,844.8,728.73,75,750,0.86,17.85,686.04,75,50,3
413400,413400,845.53,729.37,75,750,0.86,17.8,686.64,75,50,3
413700,413700,846.25,730,74.99,750,0.86,17.75,687.24,75,50,3
414000,414000,846.88,730.55,74.99,750,0.86,17.7,687.83,75,50,3
414300,414300,848.3,731.79,74.99,750,0.86,17.66,689.07,75,50,3
414600,414600,849.73,733.04,74.99,750,0.86,17.62,690.3,75,50,3
414900,414900,851.17,734.29,74.99,750,0.86,17.58,691.54,75,50,3
415200,415200,852.61,735.55,74.99,750,0.86,17.53,692.77,75,50,3
415500,415500,854.05,736.81,74.99,750,0.86,17.49,694.01,75,50,3
415800,415800,855.5,738.08,74.99,750,0.86,17.45,695.24,75,50,3
416100,416100,856.95,739.34,74.99,750,0.86,17.41,696.48,75,50,3
416400,416400,858.4,740.61,74.99,750,0.86,17.37,697.72,75,50,3
416700,416700,859.85,741.88,74.99,750,0.86,17.33,698.95,75,50,3
417000,417000,861.3,743.14,74.99,750,0.86,17.28,700.19,75,50,3
417300,417300,862.74,744.4,74.99,750,0.86,17.24,701.42,75,50,3
417600,417600,863.98,745.48,74.99,750,0.86,17.2,702.66,75,50,3
417900,417900,865.13,746.49,74.99,750,0.86,17.16,703.48,75,50,3
418200,418200,866.23,747.45,74.99,750,0.86,17.12,704.3,75,50,3
418500,418500,867.28,748.37,74.99,750,0.86,17.08,705.13,75,50,3
418800,418800,868.29,749.25,74.99,750,0.86,17.03,705.95,75,50,3
419100,419100,869.26,750.1,74.99,750,0.86,16.99,706.77,75,50,3
419400,419400,870.22,750.93,74.99,750,0.86,16.95,707.6,75,50,3
419700,419700,871.16,751.76,74.99,750,0.86,16.91,708.42,75,50,3
420000,420000,872.1,752.58,74.99,750,0.86,16.87,709.24,75,50,3
420300,420300,873.05,753.41,74.99,750,0.86,16.83,710.07,75,50,3
420600,420600,874.01,754.25,74.99,750,0.86,16.78,710.89,75,50,3
420900,420900,875,755.11,74.99,750,0.86,16.74,711.71,75,50,3
421200,421200,875.87,755.88,74.99,750,0.86,16.7,712.54,75,50,3
421500,421500,877,756.86,74.99,750,0.86,16.63,713.4,75,50,3
421800,421800,878.09,757.82,74.99,750,0.86,16.57,714.26,75,50,3
422100,422100,879.16,758.75,74.99,750,0.86,16.5,715.12,75,50,3
422400,422400,880.22,759.68,74.99,750,0.86,16.43,715.98,75,50,3
422700,422700,881.26,760.58,74.99,750,0.86,16.37,716.84,75,50,3
423000,423000,882.29,761.49,74.99,750,0.86,16.3,717.7,75,50,3
423300,423300,883.31,762.38,74.99,750,0.86,16.23,718.56,75,50,3
423600,423600,884.34,763.28,74.99,750,0.86,16.17,719.42,75,50,3
423900,423900,885.36,764.17,74.99,750,0.86,16.1,720.28,75,50,3
424200,424200,886.4,765.08,74.99,750,0.86,16.03,721.14,75,50,3
424500,424500,887.44,765.99,74.99,750,0.86,15.97,722,75,50,3
424800,424800,888.35,766.79,74.99,750,0.86,15.9,722.86,75,50,3
425100,425100,889.06,767.4,74.99,750,0.86,15.84,723.3,75,50,3
425400,425400,889.71,767.97,74.99,750,0.86,15.78,723.74,75,50,3
425700,425700,890.32,768.51,74.99,750,0.86,15.72,724.18,75,50,3
426000,426000,890.9,769.02,74.99,750,0.86,15.67,724.62,75,50,3
426300,426300,891.46,769.5,74.99,750,0.86,15.61,725.06,75,50,3
426600,426600,891.99,769.97,74.99,750,0.86,15.55,725.5,75,50,3
426900,426900,892.52,770.43,74.99,750,0.86,15.49,725.94,75,50,3
427200,427200,893.04,770.88,74.99,750,0.86,15.43,726.38,75,50,3
427500,427500,893.57,771.35,74.99,750,0.86,15.38,726.82,75,50,3
427800,427800,894.11,771.82,74.99,750,0.86,15.32,727.26,75,50,3
428100,428100,894.67,772.31,74.99,750,0.86,15.26,727.7,75,50,3
428400,428400,895.18,772.75,74.99,750,0.86,15.2,728.14,75,50,3
428700,428700,898.09,775.3,75.01,750,0.86,15.14,728.13,75.02,50,3
429000,429000,900.06,777.02,75.03,750,0.86,15.08,728.12,75.04,50,3
429300,429300,901.23,778.05,75.05,750,0.86,15.03,728.12,75.06,50,3
429600,429600,901.75,778.51,75.07,750,0.86,14.97,728.11,75.08,50,3
429900,429900,901.78,778.53,75.1,750,0.86,14.91,728.11,75.1,50,3
430200,430200,901.47,778.25,75.12,750,0.86,14.85,728.1,75.12,50,3
430500,430500,900.96,777.81,75.14,750,0.86,14.79,728.09,75.15,50,0
430800,430800,900.4,777.33,75.16,750,0.86,14.73,728.09,75.17,50,0
431100,431100,899.96,776.94,75.18,750,0.86,14.67,728.08,75.19,50,0
431400,431400,899.78,776.78,75.2,750,0.86,14.62,728.08,75.21,50,0
431700,431700,900.01,776.98,75.23,750,0.86,14.56,728.07,75.23,50,0
432000,432000,904.06,780.52,75.24,750,0.86,14.5,728.07,75.25,50,0
432300,432300,903.86,780.35,75.29,750,0.86,14.42,726.97,75.29,50,0
432600,432600,903.36,779.91,75.33,750,0.86,14.33,725.88,75.33,50,0
432900,432900,902.59,779.24,75.37,750,0.86,14.25,724.78,75.38,50,0
433200,433200,901.61,778.38,75.41,750,0.86,14.17,723.69,75.42,50,0
433500,433500,900.47,777.38,75.46,750,0.86,14.08,722.6,75.46,50,0
433800,433800,899.21,776.28,75.5,750,0.86,14,721.5,75.5,50,0
434100,434100,897.89,775.12,75.54,750,0.86,13.92,720.41,75.54,50,0
434400,434400,896.55,773.95,75.59,750,0.86,13.83,719.32,75.58,50,0
434700,434700,895.25,772.82,75.63,750,0.86,13.75,718.22,75.62,50,0
435000,435000,894.03,771.75,75.67,750,0.86,13.67,717.13,75.67,50,0
435300,435300,892.95,770.8,75.71,750,0.86,13.58,716.03,75.71,50,0
435600,435600,899.03,776.12,75.75,750,0.86,13.5,714.94,75.75,50,0
435900,435900,897.58,774.85,75.8,750,0.86,13.41,717.11,75.8,50,0
436200,436200,897.47,774.76,75.84,750,0.86,13.32,719.28,75.84,50,0
436500,436500,898.49,775.65,75.89,750,0.86,13.22,721.45,75.89,50,0
436800,436800,900.43,777.35,75.93,750,0.86,13.13,723.63,75.93,50,0
437100,437100,903.07,779.65,75.97,750,0.86,13.04,725.8,75.98,50,0
437400,437400,906.19,782.39,76.02,750,0.86,12.95,727.97,76.03,50,0
437700,437700,909.59,785.36,76.06,750,0.86,12.86,730.14,76.07,50,0
438000,438000,913.06,788.39,76.11,750,0.86,12.77,732.31,76.12,50,0
438300,438300,916.36,791.29,76.15,750,0.86,12.67,734.48,76.16,50,0
438600,438600,919.3,793.86,76.19,750,0.86,12.58,736.66,76.21,50,0
438900,438900,921.66,795.92,76.24,750,0.86,12.49,738.83,76.25,50,0
439200,439200,930.65,803.79,76.28,750,0.86,12.4,741,76.3,50,0
439500,439500,926.38,800.05,76.31,750,0.86,12.35,743.49,76.33,50,0
439800,439800,924.49,798.4,76.34,750,0.86,12.3,745.98,76.35,50,0
440100,440100,924.61,798.5,76.36,750,0.86,12.25,748.47,76.38,50,0
440400,440400,926.36,800.03,76.39,750,0.86,12.2,750.96,76.4,50,0
440700,440700,929.36,802.66,76.41,750,0.86,12.15,753.45,76.43,50,0
441000,441000,933.23,806.04,76.44,750,0.86,12.1,755.94,76.45,50,0
441300,441300,937.58,809.85,76.46,750,0.86,12.05,758.43,76.47,50,0
441600,441600,942.04,813.76,76.48,750,0.86,12,760.92,76.5,50,0
441900,441900,946.22,817.42,76.5,750,0.86,11.95,763.41,76.52,50,0
442200,442200,949.74,820.51,76.53,750,0.86,11.9,765.9,76.55,50,0
442500,442500,952.23,822.69,76.55,750,0.86,11.85,768.39,76.57,50,0
442800,442800,957.44,827.25,76.58,750,0.86,11.8,770.88,76.6,50,0
443100,443100,960.68,830.09,76.6,750,0.86,11.75,776.14,76.62,50,0
443400,443400,964.86,833.75,76.62,750,0.86,11.7,781.41,76.65,50,0
443700,443700,969.82,838.1,76.65,750,0.86,11.65,786.68,76.67,50,0
444000,444000,975.41,843,76.67,750,0.86,11.6,791.94,76.7,50,0
444300,444300,981.49,848.33,76.69,750,0.86,11.55,797.21,76.72,50,0
444600,444600,987.91,853.95,76.72,750,0.86,11.5,802.48,76.75,50,0
444900,444900,994.52,859.75,76.74,750,0.86,11.45,807.74,76.77,50,0
445200,445200,1001.16,865.58,76.76,750,0.86,11.4,813.01,76.8,50,0
445500,445500,1007.71,871.32,76.78,750,0.86,11.35,818.28,76.82,50,0
445800,445800,1013.99,876.83,76.81,750,0.86,11.3,823.54,76.85,50,0
446100,446100,1019.87,881.99,76.83,750,0.86,11.25,828.81,76.88,50,0
446400,446400,1028.64,889.68,76.85,750,0.86,11.2,834.08,76.9,50,0
446700,446700,1033.42,893.88,76.88,750,0.86,11.16,840.67,76.92,50,0
447000,447000,1039.11,898.88,76.9,750,0.87,11.12,847.26,76.94,50,0
447300,447300,1045.57,904.56,76.92,750,0.87,11.08,853.86,76.96,50,0
447600,447600,1052.66,910.78,76.93,750,0.87,11.03,860.45,76.98,50,0
447900,447900,1060.22,917.43,76.95,750,0.87,10.99,867.05,77,50,0
448200,448200,1068.12,924.36,76.97,750,0.87,10.95,873.64,77.02,50,0
448500,448500,1076.2,931.47,76.99,750,0.87,10.91,880.24,77.05,50,0
448800,448800,1084.32,938.6,77.01,750,0.87,10.87,886.83,77.07,50,0
449100,449100,1092.33,945.65,77.03,750,0.87,10.83,893.43,77.09,50,0
449400,449400,1100.1,952.48,77.05,750,0.87,10.78,900.02,77.11,50,0
449700,449700,1107.46,958.96,77.07,750,0.87,10.74,906.62,77.13,50,0
450000,450000,1116.82,967.19,77.09,750,0.87,10.7,913.21,77.15,50,0
450300,450300,1116.83,967.2,77.08,750,0.87,10.73,918.76,77.13,50,0
450600,450600,1118.91,969.04,77.06,750,0.87,10.77,924.3,77.12,50,0
450900,450900,1122.75,972.41,77.05,750,0.87,10.8,929.85,77.1,50,0
451200,451200,1127.99,977.03,77.03,750,0.87,10.83,935.39,77.08,50,0
451500,451500,1134.33,982.6,77.02,750,0.87,10.87,940.94,77.07,50,0
451800,451800,1141.41,988.84,77,750,0.87,10.9,946.49,77.05,50,0
452100,452100,1148.91,995.45,76.98,750,0.87,10.93,952.03,77.03,50,0
452400,452400,1156.51,1002.14,76.96,750,0.87,10.97,957.58,77.02,50,0
452700,452700,1163.86,1008.61,76.95,750,0.87,11,963.13,77,50,0
453000,453000,1170.63,1014.59,76.93,750,0.87,11.03,968.67,76.98,50,0
453300,453300,1176.51,1019.77,76.91,750,0.87,11.07,974.22,76.97,50,0
453600,453600,1177.88,1020.98,76.9,750,0.87,11.1,979.76,76.95,50,0
453900,453900,1180.1,1022.93,76.83,750,0.87,11.24,986.5,76.88,50,0
454200,454200,1184.04,1026.41,76.76,750,0.87,11.38,993.24,76.81,50,0
454500,454500,1189.44,1031.17,76.69,750,0.87,11.53,999.97,76.74,50,0
454800,454800,1196.02,1036.97,76.62,750,0.87,11.67,1006.71,76.67,50,0
455100,455100,1203.5,1043.57,76.55,750,0.87,11.81,1013.44,76.6,50,0
455400,455400,1211.61,1050.73,76.47,750,0.87,11.95,1020.18,76.52,50,0
455700,455700,1220.07,1058.19,76.4,750,0.87,12.09,1026.92,76.45,50,0
456000,456000,1228.6,1065.72,76.33,750,0.87,12.23,1033.65,76.38,50,0
456300,456300,1236.94,1073.08,76.26,750,0.87,12.38,1040.39,76.31,50,0
456600,456600,1244.79,1080.02,76.18,750,0.87,12.52,1047.12,76.24,50,0
456900,456900,1251.89,1086.29,76.11,750,0.87,12.66,1053.86,76.17,50,0
457200,457200,1245.51,1080.65,76.05,750,0.87,12.8,1060.6,76.1,50,0
457500,457500,1254.73,1088.8,75.98,750,0.87,12.95,1062.17,76.02,50,0
457800,457800,1261.43,1094.72,75.9,750,0.87,13.1,1063.75,75.95,50,0
458100,458100,1266.01,1098.77,75.83,750,0.87,13.25,1065.33,75.87,50,0
458400,458400,1268.87,1101.3,75.75,750,0.87,13.4,1066.9,75.8,50,0
458700,458700,1270.42,1102.66,75.68,750,0.87,13.55,1068.48,75.72,50,0
459000,459000,1271.05,1103.22,75.61,750,0.87,13.7,1070.06,75.65,50,0
459300,459300,1271.16,1103.32,75.54,750,0.87,13.85,1071.63,75.57,50,0
459600,459600,1271.16,1103.32,75.47,750,0.87,14,1073.21,75.5,50,0
459900,459900,1271.45,1103.58,75.39,750,0.87,14.15,1074.79,75.42,50,0
460200,460200,1272.43,1104.44,75.32,750,0.87,14.3,1076.36,75.35,50,0
460500,460500,1274.5,1106.27,75.25,750,0.87,14.45,1077.94,75.28,50,0
460800,460800,1264.96,1097.84,75.18,750,0.87,14.6,1079.52,75.2,50,0
461100,461100,1276.71,1108.23,75.16,750,0.87,14.76,1075.81,75.18,50,0
461400,461400,1283.15,1113.92,75.14,750,0.87,14.92,1072.1,75.17,50,0
461700,461700,1285.11,1115.65,75.12,750,0.87,15.07,1068.39,75.15,50,0
462000,462000,1283.44,1114.17,75.11,750,0.87,15.23,1064.68,75.13,50,0
462300,462300,1278.99,1110.24,75.1,750,0.87,15.39,1060.97,75.12,50,0
462600,462600,1272.61,1104.6,75.09,750,0.87,15.55,1057.26,75.1,50,0
462900,462900,1265.14,1098,75.08,750,0.87,15.71,1053.55,75.08,50,0
463200,463200,1257.43,1091.19,75.07,750,0.87,15.87,1049.84,75.07,50,0
463500,463500,1250.33,1084.91,75.06,750,0.87,16.02,1046.14,75.05,50,0
463800,463800,1244.67,1079.91,75.05,750,0.87,16.18,1042.43,75.03,50,0
464100,464100,1241.32,1076.95,75.03,750,0.87,16.34,1038.72,75.02,50,0
464400,464400,1238.01,1074.03,75.02,750,0.87,16.5,1035.01,75,50,0
464700,464700,1236.02,1072.27,75.02,750,0.87,16.65,1029.62,75,50,0
465000,465000,1232.63,1069.28,75.02,750,0.87,16.8,1024.24,75,50,0
465300,465300,1228.08,1065.27,75.02,750,0.87,16.95,1018.86,75,50,0
465600,465600,1222.59,1060.41,75.02,750,0.87,17.1,1013.47,75,50,0
465900,465900,1216.36,1054.92,75.03,750,0.87,17.25,1008.09,75,50,0
466200,466200,1209.63,1048.98,75.03,750,0.87,17.4,1002.7,75,50,0
466500,466500,1202.61,1042.78,75.03,750,0.87,17.55,997.32,75,50,0
466800,466800,1195.52,1036.53,75.03,750,0.87,17.7,991.93,75,50,0
467100,467100,1188.59,1030.41,75.04,750,0.87,17.85,986.55,75,50,0
467400,467400,1182.02,1024.63,75.04,750,0.87,18,981.17,75,50,0
467700,467700,1176.06,1019.37,75.04,750,0.87,18.15,975.78,75,50,0
468000,468000,1171.54,1015.38,75.04,750,0.87,18.3,970.4,75,50,0
468300,468300,1165.15,1009.75,75.04,750,0.87,18.44,965.23,75,50,0
468600,468600,1158.89,1004.24,75.04,750,0.87,18.58,960.06,75,50,0
468900,468900,1152.76,998.83,75.04,750,0.87,18.73,954.9,75,50,0
469200,469200,1146.71,993.51,75.04,750,0.87,18.87,949.73,75,50,0
469500,469500,1140.73,988.25,75.05,750,0.87,19.01,944.56,75,50,0
469800,469800,1134.81,983.03,75.05,750,0.87,19.15,939.4,75,50,0
470100,470100,1128.91,977.83,75.05,750,0.87,19.29,934.23,75,50,0
470400,470400,1123.01,972.64,75.05,750,0.87,19.43,929.06,75,50,0
470700,470700,1117.09,967.43,75.05,750,0.87,19.57,923.9,75,50,0
471000,471000,1111.14,962.19,75.05,750,0.87,19.72,918.73,75,50,0
471300,471300,1105.12,956.89,75.05,750,0.87,19.86,913.56,75,50,0
471600,471600,1099.89,952.29,75.05,750,0.87,20,908.4,75,50,0
471900,471900,1093.19,946.41,75.05,750,0.87,20.12,903.04,75,50,0
472200,472200,1086.66,940.66,75.05,750,0.87,20.23,897.67,75,50,0
472500,472500,1080.27,935.04,75.05,750,0.87,20.35,892.31,75,50,0
472800,472800,1073.98,929.52,75.05,750,0.87,20.47,886.95,75,50,0
473100,473100,1067.79,924.07,75.05,750,0.87,20.58,881.59,75,50,0
473400,473400,1061.64,918.67,75.05,750,0.87,20.7,876.22,75,50,0
473700,473700,1055.54,913.31,75.05,750,0.87,20.82,870.86,75,50,0
474000,474000,1049.43,907.95,75.05,750,0.87,20.93,865.5,75,50,0
474300,474300,1043.31,902.57,75.05,750,0.87,21.05,860.14,75,50,0
474600,474600,1037.14,897.15,75.05,750,0.87,21.17,854.78,75,50,0
474900,474900,1030.89,891.66,75.05,750,0.86,21.28,849.41,75,50,0
475200,475200,1025.46,886.9,75.05,750,0.86,21.4,844.05,75,50,0
475500,475500,1019.37,881.55,75.05,750,0.86,21.5,839.34,75,50,0
475800,475800,1013.48,876.38,75.05,750,0.86,21.6,834.64,75,50,0
476100,476100,1007.77,871.37,75.05,750,0.86,21.7,829.93,75,50,0
476400,476400,1002.2,866.49,75.05,750,0.86,21.8,825.22,75,50,0
476700,476700,996.74,861.7,75.05,750,0.86,21.9,820.51,75,50,0
477000,477000,991.36,856.98,75.05,750,0.86,22,815.81,75,50,0
477300,477300,986.01,852.29,75.05,750,0.86,22.1,811.1,75,50,0
477600,477600,980.68,847.62,75.05,750,0.86,22.2,806.39,75,50,0
477900,477900,975.32,842.92,75.05,750,0.86,22.3,801.68,75,50,0
478200,478200,969.91,838.17,75.05,750,0.86,22.4,796.97,75,50,0
478500,478500,964.4,833.35,75.05,750,0.86,22.5,792.27,75,50,0
478800,478800,959.58,829.13,75.05,750,0.86,22.6,787.56,75,50,0
479100,479100,954.83,824.96,75.05,750,0.86,22.67,784.03,75,50,0
479400,479400,950.29,820.99,75.05,750,0.86,22.73,780.49,75,50,0
479700,479700,945.93,817.17,75.05,750,0.86,22.8,776.96,75,50,0
480000,480000,941.71,813.47,75.05,750,0.86,22.87,773.42,75,50,0
480300,480300,937.61,809.88,75.04,750,0.86,22.93,769.89,75,50,0
480600,480600,933.58,806.36,75.04,750,0.86,23,766.35,75,50,0
480900,480900,929.6,802.87,75.04,750,0.86,23.07,762.82,75,50,0
481200,481200,925.63,799.39,75.04,750,0.86,23.13,759.29,75,50,0
481500,481500,921.63,795.9,75.04,750,0.86,23.2,755.75,75,50,0
481800,481800,917.58,792.35,75.04,750,0.86,23.27,752.22,75,50,0
482100,482100,913.43,788.72,75.04,750,0.86,23.33,748.68,75,50,0
482400,482400,909.78,785.53,75.04,750,0.86,23.4,745.15,75,50,0
482700,482700,905.17,781.49,75.04,750,0.86,23.43,741.45,75,50,0
483000,483000,900.66,777.55,75.04,750,0.86,23.47,737.75,75,50,0
483300,483300,896.26,773.7,75.04,750,0.86,23.5,734.04,75,50,0
483600,483600,891.93,769.92,75.04,750,0.86,23.53,730.34,75,50,0
483900,483900,887.67,766.19,75.04,750,0.86,23.57,726.64,75,50,0
484200,484200,883.44,762.49,75.04,750,0.86,23.6,722.94,75,50,0
484500,484500,879.24,758.82,75.04,750,0.86,23.63,719.24,75,50,0
484800,484800,875.05,755.15,75.04,750,0.86,23.67,715.54,75,50,0
485100,485100,870.84,751.48,75.04,750,0.86,23.7,711.84,75,50,0
485400,485400,866.6,747.77,75.04,750,0.86,23.73,708.13,75,50,0
485700,485700,862.3,744.02,75.04,750,0.86,23.77,704.43,75,50,0
486000,486000,858.57,740.76,75.04,750,0.86,23.8,700.73,75,50,0
486300,486300,854.99,737.54,75.04,750,0.86,23.8,697.97,75,50.02,0
486600,486600,851.58,734.48,75.04,750,0.86,23.8,695.22,75,50.04,0
486900,486900,848.32,731.53,75.04,750,0.86,23.8,692.46,75,50.06,0
487200,487200,845.17,728.7,75.03,750,0.86,23.8,689.7,75,50.08,0
487500,487500,842.11,725.94,75.03,750,0.86,23.8,686.95,75,50.11,0
487800,487800,839.11,723.23,75.03,750,0.86,23.8,684.19,75,50.13,0
488100,488100,836.14,720.55,75.03,750,0.86,23.8,681.43,75,50.15,0
488400,488400,833.18,717.89,75.03,750,0.86,23.8,678.67,75,50.17,0
488700,488700,830.2,715.2,75.03,750,0.86,23.8,675.92,75,50.19,0
489000,489000,827.18,712.48,75.03,750,0.86,23.8,673.16,75,50.21,0
489300,489300,824.08,709.69,75.03,750,0.86,23.8,670.4,75,50.23,0
489600,489600,821.34,707.24,75.03,750,0.86,23.8,667.64,75,50.25,0
489900,489900,818.87,704.72,75.03,750,0.86,23.76,665.46,75,50.34,0
490200,490200,816.52,702.33,75.03,750,0.86,23.72,663.27,75,50.42,0
490500,490500,814.28,700.03,75.03,750,0.86,23.68,661.08,75,50.51,0
490800,490800,812.12,697.81,75.03,750,0.86,23.63,658.9,75,50.6,0
491100,491100,810.03,695.66,75.03,750,0.86,23.59,656.71,75,50.68,0
491400,491400,807.99,693.54,75.03,750,0.86,23.55,654.52,75,50.77,0
491700,491700,805.96,691.45,75.02,750,0.86,23.51,652.34,75,50.85,0
492000,492000,803.94,689.37,75.02,750,0.86,23.47,650.15,75,50.94,0
492300,492300,801.91,687.27,75.02,750,0.86,23.43,647.96,75,51.02,0
492600,492600,799.83,685.14,75.02,750,0.86,23.38,645.78,75,51.11,0
492900,492900,797.7,682.96,75.02,750,0.86,23.34,643.59,75,51.2,0
493200,493200,795.81,681.05,75.02,750,0.86,23.3,641.4,75,51.28,0
493500,493500,793.93,679.14,75.02,750,0.86,23.23,639.68,75,51.35,0
493800,493800,792.13,677.3,75.02,750,0.86,23.15,637.97,75,51.42,0
494100,494100,790.4,675.54,75.02,750,0.85,23.08,636.25,75,51.48,0
494400,494400,788.72,673.84,75.02,750,0.85,23,634.53,75,51.55,0
494700,494700,787.09,672.18,75.02,750,0.85,22.93,632.81,75,51.62,0
495000,495000,785.48,670.55,75.02,750,0.85,22.85,631.1,75,51.69,0
495300,495300,783.89,668.93,75.02,750,0.85,22.77,629.38,75,51.75,0
495600,495600,782.3,667.32,75.02,750,0.85,22.7,627.66,75,51.82,0
495900,495900,780.7,665.7,75.02,750,0.85,22.62,625.94,75,51.89,0
496200,496200,779.08,664.06,75.02,750,0.85,22.55,624.22,75,51.95,0
496500,496500,777.41,662.38,75.02,750,0.85,22.47,622.51,75,52.02,0
496800,496800,775.95,660.91,75.02,750,0.85,22.4,620.79,75,52.09,0
497100,497100,775.07,660.03,75.02,750,0.85,22.3,620.1,75,52.12,0
497400,497400,774.28,659.24,75.01,750,0.85,22.2,619.41,75,52.14,0
497700,497700,773.56,658.51,75.01,750,0.85,22.1,618.72,75,52.17,0
498000,498000,772.91,657.85,75.01,750,0.85,22,618.02,75,52.2,0
498300,498300,772.3,657.23,75.01,750,0.85,21.9,617.33,75,52.23,0
498600,498600,771.72,656.64,75.01,750,0.85,21.8,616.64,75,52.25,0
498900,498900,771.17,656.08,75.01,750,0.85,21.7,615.95,75,52.28,0
499200,499200,770.61,655.51,75.01,750,0.85,21.6,615.26,75,52.31,0
499500,499500,770.05,654.94,75.01,750,0.85,21.5,614.57,75,52.33,0
499800,499800,769.47,654.34,75.01,750,0.85,21.4,613.88,75,52.36,0
500100,500100,768.84,653.7,75.01,750,0.85,21.3,613.18,75,52.39,0
500400,500400,768.26,653.12,75.01,750,0.85,21.2,612.49,75,52.41,0
500700,500700,768.22,653.07,75.01,750,0.85,21.08,612.49,75,52.41,0
501000,501000,768.21,653.06,75.01,750,0.85,20.97,612.49,75,52.41,0
501300,501300,768.25,653.09,75.01,750,0.85,20.85,612.49,75,52.41,0
501600,501600,768.33,653.15,75.01,750,0.85,20.73,612.49,75,52.41,0
501900,501900,768.42,653.24,75.01,750,0.85,20.62,612.49,75,52.41,0
502200,502200,768.54,653.34,75,750,0.85,20.5,612.49,75,52.41,0
502500,502500,768.66,653.45,75,750,0.85,20.38,612.49,75,52.41,0
502800,502800,768.79,653.56,75,750,0.85,20.27,612.49,75,52.41,0
503100,503100,768.92,653.67,75,750,0.85,20.15,612.49,75,52.41,0
503400,503400,769.03,653.76,75,750,0.85,20.03,612.49,75,52.41,0
503700,503700,769.12,653.84,75,750,0.85,19.92,612.49,75,52.41,0
504000,504000,769.17,653.89,75,750,0.85,19.8,612.49,75,52.41,0
504300,504300,769.28,653.98,75,750,0.85,19.68,612.49,75,52.41,0
504600,504600,769.38,654.06,75,750,0.85,19.57,612.49,75,52.41,0
504900,504900,769.48,654.15,75,750,0.85,19.45,612.49,75,52.41,0
505200,505200,769.58,654.24,75,750,0.85,19.33,612.49,75,52.41,0
505500,505500,769.68,654.32,75,750,0.85,19.22,612.49,75,52.41,0
505800,505800,769.78,654.41,75,750,0.85,19.1,612.49,75,52.41,0
506100,506100,769.88,654.49,75,750,0.85,18.98,612.49,75,52.41,0
506400,506400,769.98,654.58,75,750,0.85,18.87,612.49,75,52.41,0
506700,506700,770.08,654.67,75,750,0.85,18.75,612.49,75,52.41,0
507000,507000,770.18,654.75,75,750,0.85,18.63,612.49,75,52.41,0
507300,507300,770.28,654.84,75,750,0.85,18.52,612.49,75,52.41,0
507600,507600,770.37,654.91,75,750,0.85,18.4,612.49,75,52.41,0
507900,507900,770.78,655.32,75,750,0.85,18.32,612.87,75,52.4,0
508200,508200,771.21,655.74,75,750,0.85,18.23,613.25,75,52.39,0
508500,508500,771.65,656.17,75,750,0.85,18.15,613.63,75,52.37,0
508800,508800,772.09,656.6,75,750,0.85,18.07,614,75,52.36,0
509100,509100,772.54,657.04,75,750,0.85,17.98,614.38,75,52.34,0
509400,509400,772.99,657.48,75,750,0.85,17.9,614.76,75,52.33,0
509700,509700,773.45,657.93,75,750,0.85,17.82,615.14,75,52.31,0
510000,510000,773.9,658.37,75,750,0.85,17.73,615.52,75,52.3,0
510300,510300,774.36,658.82,75,750,0.85,17.65,615.89,75,52.28,0
510600,510600,774.81,659.26,75,750,0.85,17.57,616.27,75,52.27,0
510900,510900,775.26,659.7,75,750,0.85,17.48,616.65,75,52.25,0
511200,511200,775.64,660.07,75,750,0.85,17.4,617.03,75,52.24,0
511500,511500,776.76,661.2,75,750,0.85,17.32,618.14,75,52.19,0
511800,511800,777.9,662.34,75,750,0.85,17.25,619.26,75,52.15,0
512100,512100,779.05,663.49,75,750,0.85,17.17,620.37,75,52.11,0
512400,512400,780.22,664.65,74.99,750,0.85,17.1,621.49,75,52.06,0
512700,512700,781.39,665.82,74.99,750,0.85,17.02,622.6,75,52.02,0
513000,513000,782.57,666.99,74.99,750,0.85,16.95,623.71,75,51.97,0
513300,513300,783.75,668.16,74.99,750,0.85,16.87,624.83,75,51.93,0
513600,513600,784.93,669.34,74.99,750,0.85,16.8,625.94,75,51.89,0
513900,513900,786.1,670.51,74.99,750,0.85,16.72,627.06,75,51.84,0
